category,product_name,id_subcategory,subcategory,,subcategory_name,id_subcategory
Technology,Wireless Extenders zBoost YX545 SOHO Signal Booster,,Phones,,,
Technology,Kingston Digital DataTraveler 16GB USB 2.0,,Accessories,,,
Office Supplies,GBC Imprintable Covers,,Binders,,,
Office Supplies,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",,Paper,,,
Office Supplies,Newell 347,,Art,,,
Furniture,Novimex Swivel Fabric Task Chair,,Chairs,,,
Office Supplies,Pastel Pink Envelopes,,Envelopes,,,
Technology,Belkin F8E887 USB Wired Ergonomic Keyboard,,Accessories,,,
Furniture,Safco Contoured Stacking Chairs,,Chairs,,,
Technology,ARKON Windshield Dashboard Air Vent Car Mount Holder,,Phones,,,
Furniture,"Lifetime Advantage Folding Chairs, 4/Carton",,Chairs,,,
Office Supplies,Pizazz Global Quick File,,Storage,,,
Office Supplies,Xerox 1949,,Paper,,,
Office Supplies,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",,Appliances,,,
Technology,Nortel Meridian M3904 Professional Digital phone,,Phones,,,
Furniture,KI Conference Tables,,Tables,,,
Office Supplies,"Tennsco Lockers, Gray",,Storage,,,
Office Supplies,GBC Ibimaster 500 Manual ProClick Binding System,,Binders,,,
Furniture,Artistic Insta-Plaque,,Furnishings,,,
Furniture,Longer-Life Soft White Bulbs,,Furnishings,,,
Technology,Panasonic KX-TG9471B,,Phones,,,
Office Supplies,Xerox 1886,,Paper,,,
Office Supplies,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",,Fasteners,,,
Technology,Belkin QODE FastFit Bluetooth Keyboard,,Accessories,,,
Office Supplies,Rogers Handheld Barrel Pencil Sharpener,,Art,,,
Office Supplies,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",,Art,,,
Office Supplies,Ideal Clamps,,Fasteners,,,
Technology,Pyle PRT45 Retro Home Telephone,,Phones,,,
Office Supplies,Spiral Phone Message Books with Labels by Adams,,Paper,,,
Furniture,Sauder Inglewood Library Bookcases,,Bookcases,,,
Furniture,Global Chrome Stack Chair,,Chairs,,,
Furniture,Executive Impressions Supervisor Wall Clock,,Furnishings,,,
Office Supplies,Xerox 1901,,Paper,,,
Office Supplies,Acme Elite Stainless Steel Scissors,,Supplies,,,
Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",,Art,,,
Furniture,Telescoping Adjustable Floor Lamp,,Furnishings,,,
Furniture,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",,Furnishings,,,
Office Supplies,Prang Drawing Pencil Set,,Art,,,
Office Supplies,"BOSTON Ranger #55 Pencil Sharpener, Black",,Art,,,
Technology,PowerGen Dual USB Car Charger,,Phones,,,
Office Supplies,Newell 307,,Art,,,
Office Supplies,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,,Art,,,
Office Supplies,"Angle-D Binders with Locking Rings, Label Holders",,Binders,,,
Office Supplies,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",,Paper,,,
Office Supplies,Avery Binder Labels,,Binders,,,
Furniture,Sauder Inglewood Library Bookcases,,Bookcases,,,
Technology,VTech DS6151,,Phones,,,
Technology,netTALK DUO VoIP Telephone Service,,Phones,,,
Office Supplies,Letter Size Cart,,Storage,,,
Technology,V7 USB Numeric Keypad,,Accessories,,,
Office Supplies,Avery 480,,Labels,,,
Office Supplies,Avery 489,,Labels,,,
Office Supplies,Peel-Off China Markers,,Art,,,
Office Supplies,Acco Perma 2700 Stacking Storage Drawers,,Storage,,,
Office Supplies,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",,Paper,,,
Furniture,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",,Furnishings,,,
Office Supplies,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",,Labels,,,
Office Supplies,"GBC White Gloss Covers, Plain Front",,Binders,,,
Technology,Micro Innovations USB RF Wireless Keyboard with Mouse,,Accessories,,,
Technology,ShoreTel ShorePhone IP 230 VoIP phone,,Phones,,,
Technology,Plantronics Savi W720 Multi-Device Wireless Headset System,,Accessories,,,
Office Supplies,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",,Appliances,,,
Furniture,Harbour Creations Steel Folding Chair,,Chairs,,,
Furniture,"Stacking Tray, Side-Loading, Legal, Smoke",,Furnishings,,,
Office Supplies,Deluxe Heavy-Duty Vinyl Round Ring Binder,,Binders,,,
Office Supplies,Smead Adjustable Mobile File Trolley with Lockable Top,,Storage,,,
Office Supplies,Xerox 1898,,Paper,,,
Office Supplies,Xerox 222,,Paper,,,
Office Supplies,Hanging Personal Folder File,,Storage,,,
Technology,SanDisk Cruzer 64 GB USB Flash Drive,,Accessories,,,
Office Supplies,Xerox 2,,Paper,,,
Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,,Storage,,,
Technology,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,,Phones,,,
Office Supplies,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),,Paper,,,
Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,,Binders,,,
Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,Paper,,,
Furniture,9-3/4 Diameter Round Wall Clock,,Furnishings,,,
Office Supplies,Staples,,Fasteners,,,
Office Supplies,Deluxe Rollaway Locking File with Drawer,,Storage,,,
Technology,Canon PC940 Copier,,Copiers,,,
Office Supplies,Multicolor Computer Printout Paper,,Paper,,,
Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,,Accessories,,,
Office Supplies,"Brites Rubber Bands, 1 1/2 oz. Box",,Fasteners,,,
Office Supplies,Catalog Binders with Expanding Posts,,Binders,,,
Technology,Grandstream GXP2100 Mainstream Business Phone,,Phones,,,
Office Supplies,Xerox 1940,,Paper,,,
Office Supplies,Xerox 1986,,Paper,,,
Office Supplies,Eldon Portable Mobile Manager,,Storage,,,
Technology,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,,Accessories,,,
Office Supplies,Binder Clips by OIC,,Fasteners,,,
Office Supplies,"Wilson Jones 1"" Hanging DublLock Ring Binders",,Binders,,,
Office Supplies,Fellowes Bankers Box Stor/Drawer Steel Plus,,Storage,,,
Furniture,"DAX Value U-Channel Document Frames, Easel Back",,Furnishings,,,
Technology,RCA Visys Integrated PBX 8-Line Router,,Phones,,,
Office Supplies,"GBC Velobind Prepunched Cover Sets, Regency Series",,Binders,,,
Office Supplies,Cardinal Slant-D Ring Binders,,Binders,,,
Technology,Polycom SoundPoint IP 450 VoIP phone,,Phones,,,
Office Supplies,GBC VeloBind Cover Sets,,Binders,,,
Office Supplies,Sterilite Officeware Hinged File Box,,Storage,,,
Technology,Logitech G19 Programmable Gaming Keyboard,,Accessories,,,
Office Supplies,Colored Push Pins,,Fasteners,,,
Technology,Logitech G105 Gaming Keyboard,,Accessories,,,
Office Supplies,Xerox 1925,,Paper,,,
Office Supplies,"Dixon My First Ticonderoga Pencil, #2",,Art,,,
Furniture,Bush Advantage Collection Racetrack Conference Table,,Tables,,,
Technology,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,,Phones,,,
Technology,Logitech ClearChat Comfort/USB Headset H390,,Accessories,,,
Technology,netTALK DUO VoIP Telephone Service,,Phones,,,
Office Supplies,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",,Labels,,,
Furniture,Howard Miller Distant Time Traveler Alarm Clock,,Furnishings,,,
Office Supplies,GBC Imprintable Covers,,Binders,,,
Office Supplies,Home/Office Personal File Carts,,Storage,,,
Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),,Paper,,,
Office Supplies,"Carina 42""Hx23 3/4""W Media Storage Unit",,Storage,,,
Technology,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,,Phones,,,
Furniture,DAX Natural Wood-Tone Poster Frame,,Furnishings,,,
Technology,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,,Machines,,,
Office Supplies,Xerox 1887,,Paper,,,
Furniture,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",,Furnishings,,,
Office Supplies,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",,Appliances,,,
Office Supplies,Avery Reinforcements for Hole-Punch Pages,,Binders,,,
Office Supplies,GBC ProClick Spines for 32-Hole Punch,,Binders,,,
Office Supplies,Xerox 210,,Paper,,,
Furniture,Electrix Halogen Magnifier Lamp,,Furnishings,,,
Furniture,Chromcraft Rectangular Conference Tables,,Tables,,,
Office Supplies,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",,Paper,,,
Office Supplies,Economy Binders,,Binders,,,
Furniture,Advantus Panel Wall Acrylic Frame,,Furnishings,,,
Technology,Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,,Accessories,,,
Technology,Memorex Micro Travel Drive 16 GB,,Accessories,,,
Office Supplies,Tuff Stuff Recycled Round Ring Binders,,Binders,,,
Technology,netTALK DUO VoIP Telephone Service,,Phones,,,
Office Supplies,Belkin F9G930V10-GRY 9 Outlet Surge,,Appliances,,,
Office Supplies,Avery 497,,Labels,,,
Furniture,KI Adjustable-Height Table,,Tables,,,
Office Supplies,GBC Plastic Binding Combs,,Binders,,,
Furniture,Safco Contoured Stacking Chairs,,Chairs,,,
Office Supplies,Easy-staple paper,,Paper,,,
Office Supplies,Staples,,Fasteners,,,
Office Supplies,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",,Binders,,,
Office Supplies,GBC Durable Plastic Covers,,Binders,,,
Office Supplies,Avery 500,,Labels,,,
Technology,Geemarc AmpliPOWER60,,Phones,,,
Office Supplies,"""While you Were Out"" Message Book, One Form per Page",,Paper,,,
Furniture,"Global Leather Task Chair, Black",,Chairs,,,
Office Supplies,4009 Highlighters by Sanford,,Art,,,
Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,Appliances,,,
Office Supplies,Rediform Voice Mail Log Books,,Paper,,,
Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,,Tables,,,
Furniture,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,,Bookcases,,,
Office Supplies,Tuff Stuff Recycled Round Ring Binders,,Binders,,,
Office Supplies,Belkin Premiere Surge Master II 8-outlet surge protector,,Appliances,,,
Office Supplies,Safco Industrial Wire Shelving System,,Storage,,,
Furniture,Nu-Dell Float Frame 11 x 14 1/2,,Furnishings,,,
Furniture,"DAX Value U-Channel Document Frames, Easel Back",,Furnishings,,,
Office Supplies,Recycled Easel Ring Binders,,Binders,,,
Technology,Apple iPhone 5C,,Phones,,,
Technology,Logitech G600 MMO Gaming Mouse,,Accessories,,,
Furniture,"Sauder Facets Collection Library, Sky Alder Finish",,Bookcases,,,
Office Supplies,Avanti 4.4 Cu. Ft. Refrigerator,,Appliances,,,
Office Supplies,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,,Appliances,,,
Office Supplies,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,,Appliances,,,
Furniture,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",,Tables,,,
Technology,Micro Innovations USB RF Wireless Keyboard with Mouse,,Accessories,,,
Office Supplies,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,,Labels,,,
Office Supplies,White GlueTop Scratch Pads,,Paper,,,
Office Supplies,Xerox 195,,Paper,,,
Office Supplies,"Fellowes Strictly Business Drawer File, Letter/Legal Size",,Storage,,,
Office Supplies,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,,Art,,,
Office Supplies,Holmes HEPA Air Purifier,,Appliances,,,
Technology,Samsung Replacement EH64AVFWE Premium Headset,,Phones,,,
Office Supplies,Newell 322,,Art,,,
Office Supplies,Sterilite Officeware Hinged File Box,,Storage,,,
Technology,Kingston Digital DataTraveler 16GB USB 2.0,,Accessories,,,
Technology,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",,Accessories,,,
Office Supplies,Avery 494,,Labels,,,
Office Supplies,Xerox 231,,Paper,,,
Furniture,"Stacking Tray, Side-Loading, Legal, Smoke",,Furnishings,,,
Office Supplies,Eldon Shelf Savers Cubes and Bins,,Storage,,,
Technology,First Data FD10 PIN Pad,,Accessories,,,
Office Supplies,Sanford Liquid Accent Highlighters,,Art,,,
Office Supplies,Acco Translucent Poly Ring Binders,,Binders,,,
Office Supplies,Easy-staple paper,,Paper,,,
Office Supplies,Xerox 1985,,Paper,,,
Office Supplies,12 Colored Short Pencils,,Art,,,
Furniture,Hon 2111 Invitation Series Straight Table,,Tables,,,
Furniture,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,,Furnishings,,,
Office Supplies,"Fellowes Mobile File Cart, Black",,Storage,,,
Office Supplies,Xerox 1940,,Paper,,,
Office Supplies,Xerox 1962,,Paper,,,
Office Supplies,Xerox 1945,,Paper,,,
Technology,Wilson Electronics DB Pro Signal Booster,,Phones,,,
Office Supplies,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,,Binders,,,
Technology,Logitech ClearChat Comfort/USB Headset H390,,Accessories,,,
Office Supplies,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",,Art,,,
Furniture,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",,Bookcases,,,
Office Supplies,"DXL Angle-View Binders with Locking Rings, Black",,Binders,,,
Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",,Bookcases,,,
Office Supplies,"Acme 10"" Easy Grip Assistive Scissors",,Supplies,,,
Office Supplies,Avery 476,,Labels,,,
Furniture,Advantus Panel Wall Certificate Holder - 8.5x11,,Furnishings,,,
Office Supplies,Avery 478,,Labels,,,
Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,Binders,,,
Office Supplies,GBC Prestige Therm-A-Bind Covers,,Binders,,,
Office Supplies,Staple remover,,Supplies,,,
Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,,Binders,,,
Office Supplies,"SAFCO Commercial Wire Shelving, 72h",,Storage,,,
Technology,Memorex Micro Travel Drive 8 GB,,Accessories,,,
Office Supplies,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",,Binders,,,
Office Supplies,Recycled Steel Personal File for Standard File Folders,,Storage,,,
Office Supplies,Blackstonian Pencils,,Art,,,
Office Supplies,Avery 488,,Labels,,,
Office Supplies,Xerox 1919,,Paper,,,
Office Supplies,Prang Colored Pencils,,Art,,,
Technology,Micropad Numeric Keypads,,Accessories,,,
Office Supplies,Safco Steel Mobile File Cart,,Storage,,,
Office Supplies,Tops Wirebound Message Log Books,,Paper,,,
Office Supplies,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",,Binders,,,
Office Supplies,Xerox 1940,,Paper,,,
Technology,Logitech Desktop MK120 Mouse and keyboard Combo,,Accessories,,,
Office Supplies,ACCOHIDE Binder by Acco,,Binders,,,
Technology,AT&T CL82213,,Phones,,,
Technology,Innergie mMini Combo Duo USB Travel Charging Kit,,Phones,,,
Technology,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),,Phones,,,
Technology,Maxell LTO Ultrium - 800 GB,,Accessories,,,
Office Supplies,Tops Green Bar Computer Printout Paper,,Paper,,,
Furniture,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,,Chairs,,,
Office Supplies,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",,Art,,,
Office Supplies,"Companion Letter/Legal File, Black",,Storage,,,
Office Supplies,Panasonic KP-380BK Classic Electric Pencil Sharpener,,Art,,,
Office Supplies,Iris Project Case,,Storage,,,
Technology,GE 30522EE2,,Phones,,,
Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,,Binders,,,
Furniture,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",,Furnishings,,,
Office Supplies,OIC Bulk Pack Metal Binder Clips,,Fasteners,,,
Office Supplies,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",,Paper,,,
Furniture,"Eldon Image Series Desk Accessories, Burgundy",,Furnishings,,,
Office Supplies,Clear Mylar Reinforcing Strips,,Binders,,,
Office Supplies,Martin Yale Chadless Opener Electric Letter Opener,,Supplies,,,
Technology,Logitech Wireless Marathon Mouse M705,,Accessories,,,
Technology,Samsung Galaxy Note 2,,Phones,,,
Office Supplies,Xerox 225,,Paper,,,
Technology,SanDisk Cruzer 64 GB USB Flash Drive,,Accessories,,,
Technology,Mediabridge Sport Armband iPhone 5s,,Phones,,,
Furniture,DAX Cubicle Frames - 8x10,,Furnishings,,,
Office Supplies,Xerox 1929,,Paper,,,
Furniture,Bevis 44 x 96 Conference Tables,,Tables,,,
Furniture,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",,Furnishings,,,
Furniture,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",,Furnishings,,,
Furniture,KI Conference Tables,,Tables,,,
Office Supplies,Avery 501,,Labels,,,
Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,Art,,,
Office Supplies,Avery 513,,Labels,,,
Office Supplies,Harmony Air Purifier,,Appliances,,,
Furniture,"Electrix Incandescent Magnifying Lamp, Black",,Furnishings,,,
Office Supplies,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,,Appliances,,,
Office Supplies,Advantus Push Pins,,Fasteners,,,
Furniture,"Global Stack Chair with Arms, Black",,Chairs,,,
Office Supplies,Xerox 206,,Paper,,,
Office Supplies,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",,Binders,,,
Furniture,3M Hangers With Command Adhesive,,Furnishings,,,
Furniture,"Seth Thomas 14"" Day/Date Wall Clock",,Furnishings,,,
Technology,Samsung Galaxy S4 Mini,,Phones,,,
Office Supplies,Xerox 1931,,Paper,,,
Technology,Apple iPhone 5,,Phones,,,
Technology,Polycom VVX 310 VoIP phone,,Phones,,,
Furniture,Bevis Boat-Shaped Conference Table,,Tables,,,
Furniture,Harbour Creations Steel Folding Chair,,Chairs,,,
Technology,Bady BDG101FRU Card Printer,,Machines,,,
Office Supplies,Xerox 1998,,Paper,,,
Office Supplies,Newell 341,,Art,,,
Office Supplies,Kensington 7 Outlet MasterPiece Power Center,,Appliances,,,
Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,,Labels,,,
Furniture,9-3/4 Diameter Round Wall Clock,,Furnishings,,,
Office Supplies,Honeywell Quietcare HEPA Air Cleaner,,Appliances,,,
Office Supplies,Xerox 1916,,Paper,,,
Furniture,Hon Olson Stacker Stools,,Chairs,,,
Office Supplies,Round Specialty Laser Printer Labels,,Labels,,,
Furniture,"Dana Fluorescent Magnifying Lamp, White, 36""",,Furnishings,,,
Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,Accessories,,,
Office Supplies,Xerox 195,,Paper,,,
Furniture,Flat Face Poster Frame,,Furnishings,,,
Furniture,DMI Arturo Collection Mission-style Design Wood Chair,,Chairs,,,
Office Supplies,Avery Non-Stick Binders,,Binders,,,
Office Supplies,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",,Storage,,,
Technology,Imation Bio 8GB USB Flash Drive Imation Corp,,Accessories,,,
Office Supplies,Xerox 1981,,Paper,,,
Office Supplies,"White Envelopes, White Envelopes with Clear Poly Window",,Envelopes,,,
Office Supplies,Tops White Computer Printout Paper,,Paper,,,
Office Supplies,Eldon Portable Mobile Manager,,Storage,,,
Office Supplies,Staples in misc. colors,,Art,,,
Office Supplies,Fellowes Bankers Box Stor/Drawer Steel Plus,,Storage,,,
Office Supplies,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",,Binders,,,
Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,Appliances,,,
Technology,Classic Ivory Antique Telephone ZL1810,,Phones,,,
Furniture,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",,Bookcases,,,
Technology,Nokia Lumia 521 (T-Mobile),,Phones,,,
Office Supplies,"Personal Filing Tote with Lid, Black/Gray",,Storage,,,
Furniture,Hon 5100 Series Wood Tables,,Tables,,,
Furniture,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",,Furnishings,,,
Technology,Jabra SPEAK 410 Multidevice Speakerphone,,Phones,,,
Furniture,"Howard Miller 12"" Round Wall Clock",,Furnishings,,,
Office Supplies,Xerox 211,,Paper,,,
Office Supplies,Tennsco Industrial Shelving,,Storage,,,
Office Supplies,Xerox 1931,,Paper,,,
Office Supplies,Newell 334,,Art,,,
Furniture,Global Troy Executive Leather Low-Back Tilter,,Chairs,,,
Furniture,"Hon 30"" x 60"" Table with Locking Drawer",,Tables,,,
Furniture,Safco Drafting Table,,Tables,,,
Office Supplies,Easy-staple paper,,Paper,,,
Furniture,O'Sullivan Living Dimensions 5-Shelf Bookcases,,Bookcases,,,
Technology,Panasonic KX-TG9471B,,Phones,,,
Furniture,"Global High-Back Leather Tilter, Burgundy",,Chairs,,,
Technology,Adtran 1202752G1,,Phones,,,
Office Supplies,Canvas Sectional Post Binders,,Binders,,,
Office Supplies,Staple envelope,,Envelopes,,,
Furniture,"Global Value Mid-Back Manager's Chair, Gray",,Chairs,,,
Office Supplies,"Fellowes Strictly Business Drawer File, Letter/Legal Size",,Storage,,,
Office Supplies,White Computer Printout Paper by Universal,,Paper,,,
Office Supplies,Avery 510,,Labels,,,
Furniture,Ultra Door Pull Handle,,Furnishings,,,
Office Supplies,Staples,,Fasteners,,,
Office Supplies,GBC DocuBind P100 Manual Binding Machine,,Binders,,,
Office Supplies,Fellowes Superior 10 Outlet Split Surge Protector,,Appliances,,,
Furniture,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",,Tables,,,
Office Supplies,Xerox 1972,,Paper,,,
Office Supplies,Avery Hi-Liter Fluorescent Desk Style Markers,,Art,,,
Office Supplies,Staple envelope,,Envelopes,,,
Office Supplies,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",,Paper,,,
Office Supplies,Newell 309,,Art,,,
Office Supplies,Ibico Hi-Tech Manual Binding System,,Binders,,,
Office Supplies,GBC DocuBind TL300 Electric Binding System,,Binders,,,
Office Supplies,Jiffy Padded Mailers with Self-Seal Closure,,Envelopes,,,
Office Supplies,GBC DocuBind 200 Manual Binding Machine,,Binders,,,
Furniture,Balt Solid Wood Rectangular Table,,Tables,,,
Office Supplies,Fellowes Bankers Box Stor/Drawer Steel Plus,,Storage,,,
Technology,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",,Phones,,,
Office Supplies,Xerox 218,,Paper,,,
Furniture,Global Comet Stacking Armless Chair,,Chairs,,,
Technology,Memorex Froggy Flash Drive 8 GB,,Accessories,,,
Office Supplies,SAFCO Boltless Steel Shelving,,Storage,,,
Office Supplies,Pressboard Hanging Data Binders for Unburst Sheets,,Binders,,,
Office Supplies,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",,Binders,,,
Furniture,Hand-Finished Solid Wood Document Frame,,Furnishings,,,
Furniture,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",,Furnishings,,,
Technology,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,,Accessories,,,
Office Supplies,Xerox 1891,,Paper,,,
Technology,Hewlett-Packard Deskjet 5550 Printer,,Machines,,,
Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,,Accessories,,,
Office Supplies,Avery 474,,Labels,,,
Office Supplies,Staples in misc. colors,,Art,,,
Office Supplies,Avery 499,,Labels,,,
Office Supplies,American Pencil,,Art,,,
Technology,Panasonic KX T7736-B Digital phone,,Phones,,,
Office Supplies,GBC DocuBind TL200 Manual Binding Machine,,Binders,,,
Furniture,Global Commerce Series Low-Back Swivel/Tilt Chairs,,Chairs,,,
Office Supplies,Staple magnet,,Storage,,,
Technology,Cisco SPA 502G IP Phone,,Phones,,,
Office Supplies,Newell 345,,Art,,,
Office Supplies,Xerox 1960,,Paper,,,
Technology,Logitech Wireless Headset h800,,Accessories,,,
Technology,Avaya 4621SW VoIP phone,,Phones,,,
Office Supplies,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",,Paper,,,
Office Supplies,Xerox 214,,Paper,,,
Office Supplies,Safco Commercial Shelving,,Storage,,,
Technology,Mitel MiVoice 5330e IP Phone,,Phones,,,
Technology,Motorola Moto X,,Phones,,,
Furniture,O'Sullivan 2-Shelf Heavy-Duty Bookcases,,Bookcases,,,
Furniture,Longer-Life Soft White Bulbs,,Furnishings,,,
Office Supplies,Tops White Computer Printout Paper,,Paper,,,
Technology,Enermax Briskie RF Wireless Keyboard and Mouse Combo,,Accessories,,,
Furniture,Ultra Door Push Plate,,Furnishings,,,
Office Supplies,GBC Twin Loop Wire Binding Elements,,Binders,,,
Office Supplies,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",,Storage,,,
Office Supplies,Wilson Jones Active Use Binders,,Binders,,,
Furniture,SAFCO Arco Folding Chair,,Chairs,,,
Office Supplies,Avery 505,,Labels,,,
Office Supplies,Advantus Rolling Storage Box,,Storage,,,
Office Supplies,Wilson Jones Easy Flow II Sheet Lifters,,Binders,,,
Technology,Logitech Trackman Marble Mouse,,Accessories,,,
Office Supplies,Xerox 206,,Paper,,,
Office Supplies,Newell 324,,Art,,,
Furniture,DAX Cubicle Frames - 8x10,,Furnishings,,,
Furniture,Bush Advantage Collection Racetrack Conference Table,,Tables,,,
Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,,Appliances,,,
Office Supplies,"ACCOHIDE 3-Ring Binder, Blue, 1""",,Binders,,,
Technology,Cisco SPA508G,,Phones,,,
Office Supplies,Avery 518,,Labels,,,
Furniture,Global Commerce Series High-Back Swivel/Tilt Chairs,,Chairs,,,
Office Supplies,BIC Brite Liner Grip Highlighters,,Art,,,
Technology,WD My Passport Ultra 2TB Portable External Hard Drive,,Accessories,,,
Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,,Accessories,,,
Office Supplies,Xerox 1962,,Paper,,,
Office Supplies,3M Organizer Strips,,Binders,,,
Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",,Appliances,,,
Technology,Logitech G105 Gaming Keyboard,,Accessories,,,
Technology,Imation Clip USB flash drive - 8 GB,,Accessories,,,
Office Supplies,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,,Binders,,,
Office Supplies,Xerox 1970,,Paper,,,
Office Supplies,Fellowes Stor/Drawer Steel Plus Storage Drawers,,Storage,,,
Office Supplies,Acco 6 Outlet Guardian Standard Surge Suppressor,,Appliances,,,
Technology,Jabra SPEAK 410,,Phones,,,
Office Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",,Supplies,,,
Office Supplies,Xerox 1913,,Paper,,,
Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,Accessories,,,
Office Supplies,Blackstonian Pencils,,Art,,,
Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,Accessories,,,
Office Supplies,Avery Heavy-Duty EZD View Binder with Locking Rings,,Binders,,,
Office Supplies,Assorted Color Push Pins,,Fasteners,,,
Technology,Belkin Standard 104 key USB Keyboard,,Accessories,,,
